Starting to train ATE model...
Starting ATE Training...
Epoch 1/5...
  Batch 10/451 - Loss: 0.4659
  Batch 20/451 - Loss: 0.3596
  Batch 30/451 - Loss: 0.2709
  Batch 40/451 - Loss: 0.1875
  Batch 50/451 - Loss: 0.2286
  Batch 60/451 - Loss: 0.1397
  Batch 70/451 - Loss: 0.2037
  Batch 80/451 - Loss: 0.2272
  Batch 90/451 - Loss: 0.0986
  Batch 100/451 - Loss: 0.0951
  Batch 110/451 - Loss: 0.1655
  Batch 120/451 - Loss: 0.1438
  Batch 130/451 - Loss: 0.0682
  Batch 140/451 - Loss: 0.1360
  Batch 150/451 - Loss: 0.0694
  Batch 160/451 - Loss: 0.0789
  Batch 170/451 - Loss: 0.1853
  Batch 180/451 - Loss: 0.1139
  Batch 190/451 - Loss: 0.0707
  Batch 200/451 - Loss: 0.1223
  Batch 210/451 - Loss: 0.0667
  Batch 220/451 - Loss: 0.0699
  Batch 230/451 - Loss: 0.0940
  Batch 240/451 - Loss: 0.0981
  Batch 250/451 - Loss: 0.1028
  Batch 260/451 - Loss: 0.0850
  Batch 270/451 - Loss: 0.1002
  Batch 280/451 - Loss: 0.1077
  Batch 290/451 - Loss: 0.0957
  Batch 300/451 - Loss: 0.0357
  Batch 310/451 - Loss: 0.1160
  Batch 320/451 - Loss: 0.0496
  Batch 260/451 - Loss: 0.0850
  Batch 270/451 - Loss: 0.1002
  Batch 280/451 - Loss: 0.1077
  Batch 290/451 - Loss: 0.0957
  Batch 300/451 - Loss: 0.0357
  Batch 310/451 - Loss: 0.1160
  Batch 320/451 - Loss: 0.0496
  Batch 280/451 - Loss: 0.1077
  Batch 290/451 - Loss: 0.0957
  Batch 300/451 - Loss: 0.0357
  Batch 310/451 - Loss: 0.1160
  Batch 320/451 - Loss: 0.0496
  Batch 330/451 - Loss: 0.0511
  Batch 320/451 - Loss: 0.0496
  Batch 330/451 - Loss: 0.0511
  Batch 340/451 - Loss: 0.0901
  Batch 330/451 - Loss: 0.0511
  Batch 340/451 - Loss: 0.0901
  Batch 350/451 - Loss: 0.1360
  Batch 340/451 - Loss: 0.0901
  Batch 350/451 - Loss: 0.1360
  Batch 360/451 - Loss: 0.0863
  Batch 350/451 - Loss: 0.1360
  Batch 360/451 - Loss: 0.0863
  Batch 370/451 - Loss: 0.0456
  Batch 380/451 - Loss: 0.0361
  Batch 390/451 - Loss: 0.0994
  Batch 400/451 - Loss: 0.0960
  Batch 410/451 - Loss: 0.0464
  Batch 360/451 - Loss: 0.0863
  Batch 370/451 - Loss: 0.0456
  Batch 380/451 - Loss: 0.0361
  Batch 390/451 - Loss: 0.0994
  Batch 400/451 - Loss: 0.0960
  Batch 410/451 - Loss: 0.0464
  Batch 370/451 - Loss: 0.0456
  Batch 380/451 - Loss: 0.0361
  Batch 390/451 - Loss: 0.0994
  Batch 400/451 - Loss: 0.0960
  Batch 410/451 - Loss: 0.0464
  Batch 420/451 - Loss: 0.0972
  Batch 430/451 - Loss: 0.0379
  Batch 440/451 - Loss: 0.0724
  Batch 450/451 - Loss: 0.2384
Epoch 1 completed. Average Loss: 0.1404
Epoch 2/5...
  Batch 10/451 - Loss: 0.0229
  Batch 20/451 - Loss: 0.1940
  Batch 30/451 - Loss: 0.0889
  Batch 40/451 - Loss: 0.0133
  Batch 50/451 - Loss: 0.0765
  Batch 60/451 - Loss: 0.0587
  Batch 70/451 - Loss: 0.0293
  Batch 80/451 - Loss: 0.0276
  Batch 90/451 - Loss: 0.0084
  Batch 100/451 - Loss: 0.0339
  Batch 110/451 - Loss: 0.0606
  Batch 120/451 - Loss: 0.0638
  Batch 130/451 - Loss: 0.0241
  Batch 140/451 - Loss: 0.0112
  Batch 150/451 - Loss: 0.0063
  Batch 160/451 - Loss: 0.0347
  Batch 170/451 - Loss: 0.0239
  Batch 180/451 - Loss: 0.0234
  Batch 190/451 - Loss: 0.0536
  Batch 200/451 - Loss: 0.0203
  Batch 210/451 - Loss: 0.0401
  Batch 220/451 - Loss: 0.0667
  Batch 230/451 - Loss: 0.0098
  Batch 240/451 - Loss: 0.0532
  Batch 250/451 - Loss: 0.0093
  Batch 260/451 - Loss: 0.0476
  Batch 270/451 - Loss: 0.0116
  Batch 280/451 - Loss: 0.0314
  Batch 290/451 - Loss: 0.0443
  Batch 300/451 - Loss: 0.0086
  Batch 310/451 - Loss: 0.0261
  Batch 320/451 - Loss: 0.0261
  Batch 330/451 - Loss: 0.0118
  Batch 340/451 - Loss: 0.0239
  Batch 350/451 - Loss: 0.0316
  Batch 360/451 - Loss: 0.0289
  Batch 370/451 - Loss: 0.0120
  Batch 380/451 - Loss: 0.0680
  Batch 390/451 - Loss: 0.0795
  Batch 400/451 - Loss: 0.0061
  Batch 410/451 - Loss: 0.0190
  Batch 420/451 - Loss: 0.0193
  Batch 430/451 - Loss: 0.0222
  Batch 440/451 - Loss: 0.0373
  Batch 450/451 - Loss: 0.0538
Epoch 2 completed. Average Loss: 0.0431
Epoch 3/5...
  Batch 10/451 - Loss: 0.0082
  Batch 20/451 - Loss: 0.0233
  Batch 30/451 - Loss: 0.0130
  Batch 40/451 - Loss: 0.3034
  Batch 50/451 - Loss: 0.0186
  Batch 60/451 - Loss: 0.0109
  Batch 70/451 - Loss: 0.0136
  Batch 80/451 - Loss: 0.0115
  Batch 90/451 - Loss: 0.0431
  Batch 100/451 - Loss: 0.0158
  Batch 110/451 - Loss: 0.0116
  Batch 120/451 - Loss: 0.0027
  Batch 130/451 - Loss: 0.0145
  Batch 140/451 - Loss: 0.0335
  Batch 150/451 - Loss: 0.0603
  Batch 160/451 - Loss: 0.0178
  Batch 170/451 - Loss: 0.0230
  Batch 180/451 - Loss: 0.1052
  Batch 190/451 - Loss: 0.0056
  Batch 200/451 - Loss: 0.0241
  Batch 210/451 - Loss: 0.1022
  Batch 220/451 - Loss: 0.0192
  Batch 230/451 - Loss: 0.0196
  Batch 240/451 - Loss: 0.0152
  Batch 250/451 - Loss: 0.0197
  Batch 260/451 - Loss: 0.0322
  Batch 270/451 - Loss: 0.0066
  Batch 280/451 - Loss: 0.0135
  Batch 290/451 - Loss: 0.0214
  Batch 300/451 - Loss: 0.0207
  Batch 310/451 - Loss: 0.0125
  Batch 320/451 - Loss: 0.0203
  Batch 330/451 - Loss: 0.0084
  Batch 340/451 - Loss: 0.0364
  Batch 350/451 - Loss: 0.0011
  Batch 360/451 - Loss: 0.0042
  Batch 370/451 - Loss: 0.0048
  Batch 380/451 - Loss: 0.0249
  Batch 390/451 - Loss: 0.0123
  Batch 400/451 - Loss: 0.0106
  Batch 410/451 - Loss: 0.0010
  Batch 420/451 - Loss: 0.0141
  Batch 430/451 - Loss: 0.0019
  Batch 440/451 - Loss: 0.0696
  Batch 450/451 - Loss: 0.0008
Epoch 3 completed. Average Loss: 0.0224
Epoch 4/5...
  Batch 10/451 - Loss: 0.0199
  Batch 20/451 - Loss: 0.0009
  Batch 30/451 - Loss: 0.0042
  Batch 40/451 - Loss: 0.0009
  Batch 60/451 - Loss: 0.0019
  Batch 70/451 - Loss: 0.0093
  Batch 80/451 - Loss: 0.0031
  Batch 90/451 - Loss: 0.0025
  Batch 100/451 - Loss: 0.0014
  Batch 110/451 - Loss: 0.0034
  Batch 120/451 - Loss: 0.0010
  Batch 130/451 - Loss: 0.0010
  Batch 140/451 - Loss: 0.0076
  Batch 150/451 - Loss: 0.0201
  Batch 160/451 - Loss: 0.0023
  Batch 170/451 - Loss: 0.0061
  Batch 180/451 - Loss: 0.0078
  Batch 190/451 - Loss: 0.0178
  Batch 200/451 - Loss: 0.0141
  Batch 210/451 - Loss: 0.0408
  Batch 220/451 - Loss: 0.0102
  Batch 230/451 - Loss: 0.0130
  Batch 240/451 - Loss: 0.0140
  Batch 250/451 - Loss: 0.0210
  Batch 260/451 - Loss: 0.0017
  Batch 270/451 - Loss: 0.0011
  Batch 280/451 - Loss: 0.0042
  Batch 290/451 - Loss: 0.0111
  Batch 300/451 - Loss: 0.0016
  Batch 310/451 - Loss: 0.0268
  Batch 320/451 - Loss: 0.0204
  Batch 330/451 - Loss: 0.0030
  Batch 340/451 - Loss: 0.0060
  Batch 350/451 - Loss: 0.0016
  Batch 360/451 - Loss: 0.0127
  Batch 370/451 - Loss: 0.0215
  Batch 380/451 - Loss: 0.0215
  Batch 390/451 - Loss: 0.0007
  Batch 400/451 - Loss: 0.0105
  Batch 410/451 - Loss: 0.0123
  Batch 420/451 - Loss: 0.0166
  Batch 430/451 - Loss: 0.0025
  Batch 440/451 - Loss: 0.0324
  Batch 450/451 - Loss: 0.0838
Epoch 4 completed. Average Loss: 0.0132
Epoch 5/5...
  Batch 10/451 - Loss: 0.0024
  Batch 20/451 - Loss: 0.0160
  Batch 30/451 - Loss: 0.0031
  Batch 40/451 - Loss: 0.0008
  Batch 50/451 - Loss: 0.0209
  Batch 60/451 - Loss: 0.0007
  Batch 70/451 - Loss: 0.0003
  Batch 80/451 - Loss: 0.0074
  Batch 90/451 - Loss: 0.0017
  Batch 100/451 - Loss: 0.0221
  Batch 110/451 - Loss: 0.0011
  Batch 120/451 - Loss: 0.0025
